# from https://www.opendata.nhs.scot/dataset/covid-19-in-scotland
time,DailyCases,cases,deaths
2020-02-28,1,1,0
2020-02-29,0,1,0
2020-03-01,2,3,0
2020-03-02,1,4,0
2020-03-03,3,7,0
2020-03-04,6,13,0
2020-03-05,2,15,0
2020-03-06,6,21,0
2020-03-07,6,27,0
2020-03-08,3,30,0
2020-03-09,16,46,0
2020-03-10,21,67,0
2020-03-11,26,93,0
2020-03-12,38,131,1
2020-03-13,48,179,1
2020-03-14,19,198,3
2020-03-15,12,210,3
2020-03-16,21,231,4
2020-03-17,43,274,6
2020-03-18,41,315,6
2020-03-19,49,364,9
2020-03-20,83,447,14
2020-03-21,66,513,20
2020-03-22,75,588,25
2020-03-23,138,726,29
2020-03-24,167,893,36
2020-03-25,187,1080,46
2020-03-26,223,1303,57
2020-03-27,274,1577,68
2020-03-28,205,1782,97
2020-03-29,197,1979,117
2020-03-30,321,2300,144
2020-03-31,340,2640,182
2020-04-01,384,3024,226
2020-04-02,355,3379,262
2020-04-03,379,3758,319
2020-04-04,259,4017,346
2020-04-05,225,4242,390
2020-04-06,404,4646,452
2020-04-07,351,4997,499
2020-04-08,343,5340,551
2020-04-09,304,5644,614
2020-04-10,329,5973,669
2020-04-11,185,6158,721
2020-04-12,220,6378,767
2020-04-13,359,6737,806
2020-04-14,346,7083,856
2020-04-15,331,7414,897
2020-04-16,427,7841,938
2020-04-17,394,8235,975
2020-04-18,264,8499,1026
2020-04-19,159,8658,1070
2020-04-20,776,9434,1131
2020-04-21,399,9833,1181
2020-04-22,340,10173,1225
2020-04-23,314,10487,1273
2020-04-24,305,10792,1311
2020-04-25,184,10976,1358
2020-04-26,172,11148,1401
2020-04-27,430,11578,1461
2020-04-28,380,11958,1501
2020-04-29,430,12388,1538
2020-04-30,335,12723,1581
2020-05-01,368,13091,1629
2020-05-02,217,13308,1673
2020-05-03,189,13497,1709
2020-05-04,330,13827,1749
2020-05-05,289,14116,1799
2020-05-06,306,14422,1842
2020-05-07,290,14712,1881
2020-05-08,254,14966,1915
2020-05-09,177,15143,1949
2020-05-10,150,15293,1976
2020-05-11,261,15554,2007
2020-05-12,231,15785,2037
2020-05-13,198,15983,2079
2020-05-14,212,16195,2113
2020-05-15,152,16347,2137
2020-05-16,103,16450,2165
2020-05-17,92,16542,2191
2020-05-18,140,16682,2214
2020-05-19,182,16864,2242
2020-05-20,121,16985,2263
2020-05-21,111,17096,2286
2020-05-22,92,17188,2302
2020-05-23,50,17238,2311
2020-05-24,54,17292,2318
2020-05-25,97,17389,2332
2020-05-26,77,17466,2345
2020-05-27,66,17532,2361
2020-05-28,55,17587,2377
2020-05-29,29,17616,2388
2020-05-30,40,17656,2394
2020-05-31,23,17679,2400
2020-06-01,38,17717,2403
2020-06-02,45,17762,2409
2020-06-03,35,17797,2417
2020-06-04,35,17832,2419
2020-06-05,24,17856,2428
2020-06-06,22,17878,2431
2020-06-07,17,17895,2438
2020-06-08,18,17913,2443
2020-06-09,27,17940,2444
2020-06-10,29,17969,2449
2020-06-11,21,17990,2451
2020-06-12,30,18020,2453
2020-06-13,23,18043,2456
2020-06-14,13,18056,2460
2020-06-15,21,18077,2463
2020-06-16,17,18094,2469
2020-06-17,33,18127,2472
2020-06-18,14,18141,2475
2020-06-19,23,18164,2475
2020-06-20,6,18170,2478
2020-06-21,9,18179,2480
2020-06-22,11,18190,2483
2020-06-23,20,18210,2484
2020-06-24,8,18218,2485
2020-06-25,19,18237,2485
2020-06-26,6,18243,2485
2020-06-27,4,18247,2489
2020-06-28,3,18250,2489
2020-06-29,14,18264,2490
2020-06-30,8,18272,2490
2020-07-01,11,18283,2490
2020-07-02,13,18296,2490
2020-07-03,6,18302,2491
2020-07-04,5,18307,2491
2020-07-05,2,18309,2492
2020-07-06,8,18317,2492
2020-07-07,11,18328,2492
2020-07-08,10,18338,2492
2020-07-09,8,18346,2492
2020-07-10,12,18358,2492
2020-07-11,9,18367,2492
2020-07-12,2,18369,2492
2020-07-13,17,18386,2492
2020-07-14,10,18396,2492
2020-07-15,16,18412,2492
2020-07-16,21,18433,2492
2020-07-17,8,18441,2492
2020-07-18,13,18454,2492
2020-07-19,17,18471,2492
2020-07-20,13,18484,2492
2020-07-21,19,18503,2492
2020-07-22,16,18519,2492
2020-07-23,23,18542,2492
2020-07-24,11,18553,2492
2020-07-25,3,18556,2492
2020-07-26,7,18563,2492
2020-07-27,13,18576,2492
2020-07-28,22,18598,2492
2020-07-29,28,18626,2492
2020-07-30,27,18653,2492
2020-07-31,21,18674,2492
2020-08-01,23,18697,2492
2020-08-02,19,18716,2492
2020-08-03,62,18778,2492
2020-08-04,58,18836,2492
2020-08-05,67,18903,2492
2020-08-06,65,18968,2492
2020-08-07,46,19014,2492
2020-08-08,27,19041,2492
2020-08-09,26,19067,2492
2020-08-10,59,19126,2492
2020-08-11,63,19189,2492
2020-08-12,49,19238,2492
2020-08-13,59,19297,2492
2020-08-14,50,19347,2492
2020-08-15,20,19367,2492
2020-08-16,33,19400,2492
2020-08-17,75,19475,2492
2020-08-18,78,19553,2492
2020-08-19,93,19646,2493
2020-08-20,141,19787,2493
2020-08-21,91,19878,2493
2020-08-22,51,19929,2494
2020-08-23,67,19996,2495
2020-08-24,59,20055,2495
2020-08-25,72,20127,2495
2020-08-26,98,20225,2495
2020-08-27,97,20322,2495
2020-08-28,105,20427,2496
2020-08-29,94,20521,2496
2020-08-30,102,20623,2496
2020-08-31,143,20766,2496
2020-09-01,199,20965,2496
2020-09-02,192,21157,2497
2020-09-03,202,21359,2498
2020-09-04,170,21529,2499
2020-09-05,137,21666,2499
2020-09-06,154,21820,2499
2020-09-07,167,21987,2499
2020-09-08,103,22090,2499
2020-09-09,223,22313,2499
2020-09-10,231,22544,2499
2020-09-11,216,22760,2499
2020-09-12,214,22974,2499
2020-09-13,178,23152,2500
2020-09-14,186,23338,2503
2020-09-15,238,23576,2503
2020-09-16,280,23856,2503
2020-09-17,265,24121,2504
2020-09-18,270,24391,2505
2020-09-19,236,24627,2505
2020-09-20,320,24947,2508
2020-09-21,454,25401,2510
2020-09-22,497,25898,2512
2020-09-23,572,26470,2513
2020-09-24,716,27186,2515
2020-09-25,576,27762,2516
2020-09-26,437,28199,2518
2020-09-27,359,28558,2520
2020-09-28,625,29183,2523
2020-09-29,661,29844,2524
2020-09-30,793,30637,2528
2020-10-01,777,31414,2532
2020-10-02,818,32232,2533
2020-10-03,702,32934,2535
2020-10-04,744,33678,2538
2020-10-05,1099,34777,2538
2020-10-06,1192,35969,2541
2020-10-07,1250,37219,2549
2020-10-08,1171,38390,2560
2020-10-09,1096,39486,2566
2020-10-10,942,40428,2576
2020-10-11,959,41387,2585
2020-10-12,1361,42748,2591
2020-10-13,1423,44171,2602
2020-10-14,1290,45461,2608
2020-10-15,1293,46754,2624
2020-10-16,1251,48005,2640
2020-10-17,862,48867,2649
2020-10-18,828,49695,2670
2020-10-19,1355,51050,2685
2020-10-20,1685,52735,2701
2020-10-21,1580,54315,2712
2020-10-22,1503,55818,2729
2020-10-23,1287,57105,2746
2020-10-24,954,58059,2765
2020-10-25,939,58998,2786
2020-10-26,1345,60343,2815
2020-10-27,1308,61651,2829
2020-10-28,1268,62919,2853
2020-10-29,1100,64019,2879
2020-10-30,1105,65124,2914
2020-10-31,745,65869,2938
2020-11-01,974,66843,2972
2020-11-02,1477,68320,2999
2020-11-03,1392,69712,3032
2020-11-04,1304,71016,3051
2020-11-05,1284,72300,3086
2020-11-06,1138,73438,3110
2020-11-07,841,74279,3143
2020-11-08,877,75156,3175
2020-11-09,1284,76440,3207
2020-11-10,1243,77683,3230
2020-11-11,1031,78714,3242
2020-11-12,302,79016,3244
