#produced by split_UK.py
#
#
time	cases
2020-02-28	1
2020-02-29	1
2020-03-01	3
2020-03-02	4
2020-03-03	7
2020-03-04	13
2020-03-05	15
2020-03-06	21
2020-03-07	27
2020-03-08	30
2020-03-09	46
2020-03-10	67
2020-03-11	93
2020-03-12	131
2020-03-13	179
2020-03-14	198
2020-03-15	210
2020-03-16	231
2020-03-17	274
2020-03-18	315
2020-03-19	364
2020-03-20	447
2020-03-21	513
2020-03-22	588
2020-03-23	726
2020-03-24	893
2020-03-25	1080
2020-03-26	1303
2020-03-27	1577
2020-03-28	1782
2020-03-29	1979
2020-03-30	2300
2020-03-31	2640
2020-04-01	3024
2020-04-02	3379
2020-04-03	3758
2020-04-04	4017
2020-04-05	4242
2020-04-06	4646
2020-04-07	4997
2020-04-08	5340
2020-04-09	5644
2020-04-10	5973
2020-04-11	6158
2020-04-12	6378
2020-04-13	6737
2020-04-14	7083
2020-04-15	7414
2020-04-16	7841
2020-04-17	8235
2020-04-18	8499
2020-04-19	8658
2020-04-20	9434
2020-04-21	9833
2020-04-22	10173
2020-04-23	10487
2020-04-24	10792
2020-04-25	10976
2020-04-26	11148
2020-04-27	11578
2020-04-28	11958
2020-04-29	12388
2020-04-30	12723
2020-05-01	13091
2020-05-02	13308
2020-05-03	13497
2020-05-04	13827
2020-05-05	14116
2020-05-06	14422
2020-05-07	14712
2020-05-08	14966
2020-05-09	15143
2020-05-10	15293
2020-05-11	15554
2020-05-12	15785
2020-05-13	15983
2020-05-14	16195
2020-05-15	16347
2020-05-16	16450
2020-05-17	16542
2020-05-18	16682
2020-05-19	16864
2020-05-20	16985
2020-05-21	17096
2020-05-22	17188
2020-05-23	17238
2020-05-24	17292
2020-05-25	17389
2020-05-26	17466
2020-05-27	17532
2020-05-28	17587
2020-05-29	17616
2020-05-30	17656
2020-05-31	17679
2020-06-01	17717
2020-06-02	17762
2020-06-03	17797
2020-06-04	17832
2020-06-05	17856
2020-06-06	17878
2020-06-07	17895
2020-06-08	17913
2020-06-09	17940
2020-06-10	17969
2020-06-11	17990
2020-06-12	18020
2020-06-13	18043
2020-06-14	18056
2020-06-15	18077
2020-06-16	18094
2020-06-17	18127
2020-06-18	18141
2020-06-19	18164
2020-06-20	18170
2020-06-21	18179
2020-06-22	18190
2020-06-23	18210
2020-06-24	18218
2020-06-25	18237
2020-06-26	18243
2020-06-27	18247
2020-06-28	18250
2020-06-29	18264
2020-06-30	18272
2020-07-01	18283
2020-07-02	18296
2020-07-03	18302
2020-07-04	18307
2020-07-05	18309
2020-07-06	18317
2020-07-07	18328
2020-07-08	18338
2020-07-09	18346
2020-07-10	18358
2020-07-11	18367
2020-07-12	18369
2020-07-13	18386
2020-07-14	18396
2020-07-15	18412
2020-07-16	18433
2020-07-17	18441
2020-07-18	18454
2020-07-19	18471
2020-07-20	18484
2020-07-21	18503
2020-07-22	18519
