# from https://coronavirus.data.gov.uk/details/cases download on 2021-01-02
areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-12-31,1845,2190702
nation,England,E92000001,2020-12-30,24234,2188857
nation,England,E92000001,2020-12-29,58113,2164623
nation,England,E92000001,2020-12-28,37900,2106510
nation,England,E92000001,2020-12-27,41597,2068610
nation,England,E92000001,2020-12-26,36431,2027013
nation,England,E92000001,2020-12-25,12606,1990582
nation,England,E92000001,2020-12-24,28560,1977976
nation,England,E92000001,2020-12-23,37605,1949416
nation,England,E92000001,2020-12-22,40754,1911811
nation,England,E92000001,2020-12-21,42521,1871057
nation,England,E92000001,2020-12-20,28938,1828536
nation,England,E92000001,2020-12-19,21729,1799598
nation,England,E92000001,2020-12-18,31817,1777869
nation,England,E92000001,2020-12-17,29562,1746052
nation,England,E92000001,2020-12-16,30046,1716490
nation,England,E92000001,2020-12-15,29085,1686444
nation,England,E92000001,2020-12-14,29486,1657359
nation,England,E92000001,2020-12-13,18133,1627873
nation,England,E92000001,2020-12-12,16027,1609740
nation,England,E92000001,2020-12-11,19892,1593713
nation,England,E92000001,2020-12-10,18566,1573821
nation,England,E92000001,2020-12-09,17505,1555255
nation,England,E92000001,2020-12-08,16689,1537750
nation,England,E92000001,2020-12-07,17418,1521061
nation,England,E92000001,2020-12-06,10899,1503643
nation,England,E92000001,2020-12-05,10174,1492744
nation,England,E92000001,2020-12-04,12882,1482570
nation,England,E92000001,2020-12-03,12520,1469688
nation,England,E92000001,2020-12-02,13438,1457168
nation,England,E92000001,2020-12-01,13519,1443730
nation,England,E92000001,2020-11-30,15030,1430211
nation,England,E92000001,2020-11-29,8905,1415181
nation,England,E92000001,2020-11-28,9193,1406276
nation,England,E92000001,2020-11-27,12275,1397083
nation,England,E92000001,2020-11-26,12285,1384808
nation,England,E92000001,2020-11-25,13928,1372523
nation,England,E92000001,2020-11-24,14044,1358595
nation,England,E92000001,2020-11-23,16200,1344551
nation,England,E92000001,2020-11-22,10042,1328351
nation,England,E92000001,2020-11-21,10610,1318309
nation,England,E92000001,2020-11-20,14677,1307699
nation,England,E92000001,2020-11-19,15500,1293022
nation,England,E92000001,2020-11-18,18210,1277522
nation,England,E92000001,2020-11-17,20319,1259312
nation,England,E92000001,2020-11-16,23720,1238993
nation,England,E92000001,2020-11-15,14217,1215273
nation,England,E92000001,2020-11-14,16032,1201056
nation,England,E92000001,2020-11-13,21637,1185024
nation,England,E92000001,2020-11-12,21934,1163387
nation,England,E92000001,2020-11-11,24636,1141453
nation,England,E92000001,2020-11-10,24452,1116817
