# this is sheet 2 from http://www2.nphs.wales.nhs.uk:8080/CommunitySurveillanceDocs.nsf/3dc04669c9e1eaa880257062003b246b/77fdb9a33544aee88025855100300cab/$FILE/Rapid%20COVID-19%20surveillance%20data.xlsx
Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Blaenau Gwent,11/12/2020,1,1998,2859.9,1,21177
Blaenau Gwent,11/11/2020,1,1997,2858.5,7,21176
Blaenau Gwent,11/10/2020,21,1996,2857.1,92,21169
Blaenau Gwent,11/9/2020,18,1975,2827,116,21077
Blaenau Gwent,11/8/2020,31,1957,2801.2,156,20961
Blaenau Gwent,11/7/2020,14,1926,2756.9,148,20805
Blaenau Gwent,11/6/2020,36,1912,2736.8,201,20657
Blaenau Gwent,11/5/2020,37,1876,2685.3,223,20456
Blaenau Gwent,11/4/2020,39,1839,2632.3,233,20233
Blaenau Gwent,11/3/2020,40,1800,2576.5,250,20000
Blaenau Gwent,11/2/2020,49,1760,2519.3,270,19750
Blaenau Gwent,11/1/2020,32,1711,2449.1,142,19480
Blaenau Gwent,10/31/2020,67,1679,2403.3,196,19338
Blaenau Gwent,10/30/2020,42,1612,2307.4,278,19142
Blaenau Gwent,10/29/2020,69,1570,2247.3,335,18864
Blaenau Gwent,10/28/2020,59,1501,2148.5,239,18529
Blaenau Gwent,10/27/2020,43,1442,2064.1,259,18290
Blaenau Gwent,10/26/2020,80,1399,2002.5,274,18031
Blaenau Gwent,10/25/2020,34,1319,1888,129,17757
Blaenau Gwent,10/24/2020,43,1285,1839.3,158,17628
Blaenau Gwent,10/23/2020,34,1242,1777.8,220,17470
Blaenau Gwent,10/22/2020,42,1208,1729.1,210,17250
Blaenau Gwent,10/21/2020,48,1166,1669,259,17040
Blaenau Gwent,10/20/2020,49,1118,1600.3,200,16781
Blaenau Gwent,10/19/2020,28,1069,1530.2,280,16581
Blaenau Gwent,10/18/2020,19,1041,1490.1,102,16301
Blaenau Gwent,10/17/2020,21,1022,1462.9,92,16199
Blaenau Gwent,10/16/2020,15,1001,1432.8,132,16107
Blaenau Gwent,10/15/2020,18,986,1411.4,142,15975
Blaenau Gwent,10/14/2020,25,968,1385.6,166,15833
Blaenau Gwent,10/13/2020,30,943,1349.8,197,15667
Blaenau Gwent,10/12/2020,18,913,1306.9,168,15470
Blaenau Gwent,10/11/2020,12,895,1281.1,79,15302
Blaenau Gwent,10/10/2020,16,883,1263.9,97,15223
Blaenau Gwent,10/9/2020,18,867,1241,148,15126
Blaenau Gwent,10/8/2020,11,849,1215.3,230,14978
Blaenau Gwent,10/7/2020,24,838,1199.5,178,14748
Blaenau Gwent,10/6/2020,12,814,1165.2,177,14570
Blaenau Gwent,10/5/2020,6,802,1148,190,14393
Blaenau Gwent,10/4/2020,11,796,1139.4,79,14203
Blaenau Gwent,10/3/2020,15,785,1123.6,131,14124
Blaenau Gwent,10/2/2020,15,770,1102.2,191,13993
Blaenau Gwent,10/1/2020,6,755,1080.7,140,13802
Blaenau Gwent,9/30/2020,9,749,1072.1,200,13662
Blaenau Gwent,9/29/2020,8,740,1059.2,142,13462
Blaenau Gwent,9/28/2020,21,732,1047.8,225,13320
Blaenau Gwent,9/27/2020,15,711,1017.7,169,13095
Blaenau Gwent,9/26/2020,20,696,996.2,165,12926
Blaenau Gwent,9/25/2020,26,676,967.6,253,12761
Blaenau Gwent,9/24/2020,23,650,930.4,350,12508
Blaenau Gwent,9/23/2020,52,627,897.5,376,12158
Blaenau Gwent,9/22/2020,26,575,823.1,305,11782
Blaenau Gwent,9/21/2020,34,549,785.8,400,11477
Blaenau Gwent,9/20/2020,37,515,737.2,238,11077
Blaenau Gwent,9/19/2020,23,478,684.2,152,10839
Blaenau Gwent,9/18/2020,11,455,651.3,142,10687
Blaenau Gwent,9/17/2020,11,444,635.5,160,10545
Blaenau Gwent,9/16/2020,8,433,619.8,189,10385
Blaenau Gwent,9/15/2020,0,425,608.3,172,10196
Blaenau Gwent,9/14/2020,10,425,608.3,179,10024
Blaenau Gwent,9/13/2020,8,415,594,141,9845
Blaenau Gwent,9/12/2020,4,407,582.6,135,9704
Blaenau Gwent,9/11/2020,3,403,576.9,169,9569
Blaenau Gwent,9/10/2020,3,400,572.6,248,9400
Blaenau Gwent,9/9/2020,1,397,568.3,239,9152
Blaenau Gwent,9/8/2020,3,396,566.8,220,8913
Blaenau Gwent,9/7/2020,5,393,562.5,426,8693
Blaenau Gwent,9/6/2020,3,388,555.4,101,8267
Blaenau Gwent,9/5/2020,2,385,551.1,79,8166
Blaenau Gwent,9/4/2020,0,383,548.2,109,8087
Blaenau Gwent,9/3/2020,1,383,548.2,132,7978
Blaenau Gwent,9/2/2020,2,382,546.8,113,7846
Blaenau Gwent,9/1/2020,0,380,543.9,119,7733
Blaenau Gwent,8/31/2020,0,380,543.9,63,7614
Blaenau Gwent,8/30/2020,0,380,543.9,50,7551
Blaenau Gwent,8/29/2020,0,380,543.9,45,7501
Blaenau Gwent,8/28/2020,1,380,543.9,83,7456
Blaenau Gwent,8/27/2020,0,379,542.5,93,7373
Blaenau Gwent,8/26/2020,0,379,542.5,83,7280
Blaenau Gwent,8/25/2020,2,379,542.5,132,7197
Blaenau Gwent,8/24/2020,1,377,539.6,153,7065
Blaenau Gwent,8/23/2020,0,376,538.2,35,6912
Blaenau Gwent,8/22/2020,0,376,538.2,28,6877
Blaenau Gwent,8/21/2020,0,376,538.2,48,6849
Blaenau Gwent,8/20/2020,0,376,538.2,49,6801
Blaenau Gwent,8/19/2020,0,376,538.2,51,6752
Blaenau Gwent,8/18/2020,0,376,538.2,61,6701
