	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
28	2																										
29	5																										
31	10						1.0										1.0										
32	11	5.0															1.0			1.0					2.0		3.0
33	30	13.0						1.0	2.0								6.0							1.0	6.0		6.0
34	24	80.0						8.0	2.0					1.0			24.0					2.0		8.0	66.0	2.0	4.0
35	25	104.0		3.0			1.0	29.0	3.0								23.0					2.0		8.0	93.0	3.0	
36	57	110.0		1.0			3.0	22.0		1.0				2.0			130.0			1.0		4.0		1.0	107.0	2.0	
37	30	94.0		4.0			4.0	36.0	1.0			2.0			1.0		46.0			2.0				3.0	91.0		
38	49	86.0		6.0	1.0	2.0	27.0	2.0	3.0			1.0		2.0			116.0			2.0		2.0		2.0	84.0		
39	28	126.0		10.0	30.0		31.0	12.0	6.0				1.0	1.0	1.0		136.0			4.0				14.0	111.0	1.0	
40	33	139.0		19.0	12.0		6.0	37.0	1.0	1.0	1.0						73.0			2.0				19.0	117.0	3.0	
41	36	171.0		23.0	3.0		18.0	55.0						2.0			68.0	1.0		10.0		1.0		10.0	148.0	13.0	
42	37	183.0		16.0	8.0	2.0	26.0	91.0	1.0	1.0	1.0				1.0		201.0			14.0		1.0		2.0	179.0	2.0	
43	76	248.0		11.0	1.0	3.0	83.0	18.0	2.0			3.0	2.0	1.0			64.0			124.0		1.0	1.0	2.0	234.0	12.0	
44	32	179.0		15.0	6.0	2.0	40.0	55.0	4.0		1.0	30.0		2.0	6.0	1.0	211.0			135.0		3.0		5.0	149.0	24.0	
45	24	228.0		8.0	10.0		4.0	91.0	1.0	1.0		13.0		5.0	3.0	1.0	191.0		2.0	71.0		2.0	4.0	1.0	213.0	14.0	
46	55	300.0		17.0	2.0		33.0	34.0	5.0	1.0		2.0					105.0		33.0	70.0				1.0	293.0	6.0	
47	54	111.0		15.0		1.0	13.0	31.0	1.0	1.0	2.0	2.0		5.0	1.0		144.0		1.0	73.0		6.0		1.0	100.0	10.0	
48	33	50.0		18.0	2.0		9.0	52.0	3.0		1.0	7.0	1.0	4.0			159.0			63.0				3.0	27.0	20.0	
49	7	6.0		6.0			8.0	11.0	1.0			1.0					191.0			16.0						6.0	
