	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
29								1.0																			
30	1.0	2.0						2.0																	2.0		
31		2.0						3.0																	2.0		
32	4.0	3.0			14.0			5.0									1.0								3.0		
33	13.0	20.0						9.0	3.0		1.0						5.0							2.0	16.0		2.0
34	17.0	36.0					1.0	9.0	3.0			1.0					7.0							2.0	31.0	1.0	2.0
35	5.0	69.0		14.0	1.0		1.0	11.0	1.0			3.0					11.0					1.0		4.0	65.0		
36	13.0	36.0		3.0	4.0		2.0	3.0				2.0					22.0								32.0	4.0	
37	7.0	19.0		2.0	4.0		2.0	7.0	1.0			1.0					8.0								14.0		5.0
38	5.0	11.0		2.0	4.0		2.0				1.0	2.0					5.0								11.0		
39	5.0	22.0			3.0				2.0								2.0								18.0		4.0
40		16.0			2.0						6.0						2.0							1.0	10.0		5.0
41	1.0	12.0			2.0			4.0			4.0					1.0								1.0	5.0	1.0	5.0
42	4.0	7.0		2.0	4.0			4.0			1.0														6.0		1.0
43		4.0			2.0			1.0																	4.0		
44	1.0	3.0			3.0			1.0				2.0												1.0	1.0		1.0
45		4.0				1.0		1.0																	4.0		
46	1.0	5.0																	2.0						5.0		
47																			2.0								
48	5.0	1.0										3.0													1.0		
49	1.0																										
