	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
26					2.0																						
27		2.0																							2.0		
28		3.0																							3.0		
29		10.0									1.0														5.0	1.0	4.0
30		5.0					1.0				12.0														2.0		3.0
31		3.0						3.0			29.0														3.0		
32	1.0	7.0						5.0	1.0		31.0														7.0		
33	16.0	28.0						4.0	2.0		27.0	1.0					7.0					2.0		3.0	19.0	2.0	4.0
34		108.0						2.0	2.0		7.0	2.0					5.0							3.0	80.0	4.0	21.0
35		163.0			1.0		2.0	8.0	1.0				1.0				9.0							18.0	132.0	13.0	
36	2.0	93.0				1.0		4.0			12.0			1.0			28.0					3.0		9.0	78.0	5.0	1.0
37	1.0	107.0			1.0			3.0			13.0				1.0		20.0							11.0	88.0	7.0	1.0
38	2.0	139.0					1.0	1.0	5.0	1.0	15.0			1.0			98.0					3.0	9.0	6.0	95.0	38.0	
39		258.0		1.0	2.0			1.0	5.0		1.0						97.0					5.0	2.0	51.0	160.0	46.0	1.0
40		150.0		2.0	3.0			5.0	1.0	1.0	2.0	3.0					49.0					4.0	4.0	40.0	78.0	32.0	
41	2.0	259.0		5.0	5.0			7.0	5.0		13.0				1.0	1.0	40.0					5.0	10.0	19.0	200.0	40.0	
42	2.0	193.0		9.0	6.0			14.0	7.0		8.0				1.0		183.0				1.0	14.0	18.0	7.0	170.0	15.0	1.0
43	6.0	329.0		1.0	5.0			5.0	7.0		1.0						45.0			6.0		29.0	30.0	25.0	243.0	61.0	
44		249.0		2.0	7.0			1.0	6.0		1.0	25.0		1.0	1.0		242.0			5.0		37.0	21.0	13.0	169.0	67.0	
45	2.0	270.0		2.0	16.0			4.0	12.0		1.0	2.0			2.0		214.0			2.0		6.0	15.0	6.0	211.0	53.0	
46		257.0		2.0	9.0			2.0	5.0	1.0					2.0		104.0			2.0		5.0	5.0	10.0	227.0	20.0	
47		152.0		2.0	5.0	2.0		4.0	4.0		9.0	1.0		1.0	1.0		135.0			3.0		6.0	3.0	2.0	136.0	14.0	
48	1.0	79.0		11.0	8.0		16.0	6.0	9.0		3.0				2.0		160.0			7.0		6.0	2.0	1.0	57.0	21.0	
49		12.0		2.0	2.0				2.0								229.0			1.0					8.0	4.0	
