	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
12												1.0															
16		2.0																							2.0		
17										1.0																	
18				2.0																							
20		1.0																								1.0	
22				2.0																							
23				1.0											1.0												
24		1.0								1.0					4.0										1.0		
25															11.0												
26															15.0												
27															4.0												
29		1.0																							1.0		
30										1.0																	
32										1.0																	
33										1.0					1.0												
34										6.0																	
35										2.0																	
36		1.0								6.0																1.0	
37		1.0								4.0																1.0	
38		5.0								1.0															1.0	4.0	
39		13.0							2.0																4.0	9.0	
40		17.0								4.0															3.0	14.0	
41		27.0								4.0															5.0	22.0	
42		35.0								2.0															5.0	30.0	
43		89.0								4.0															31.0	58.0	
44		151.0								3.0							1.0								71.0	80.0	
45		348.0								4.0							3.0							1.0	269.0	78.0	
46		715.0								10.0							3.0		1.0					4.0	652.0	59.0	
47		728.0								14.0							2.0					1.0		4.0	666.0	58.0	
48		460.0		1.0						9.0							5.0							4.0	396.0	60.0	
49		50.0					3.0		1.0	5.0					1.0		3.0							2.0	38.0	10.0	
