	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
27							1																				
28							1																				
29							2																				
30				1.0			14																				
31				2.0			24																				
32		3.0				2.0	32																		3.0		
33		12.0		6.0			15	1.0	1.0								8.0							1.0	9.0	1.0	1.0
34	1.0	53.0					16	5.0	5.0								4.0							2.0	48.0	3.0	
35	4.0	47.0		3.0		1.0	9		1.0			1.0					2.0							2.0	42.0	3.0	
36	3.0	36.0		2.0			14	3.0									5.0							2.0	33.0	1.0	
37	1.0	53.0		8.0			15	2.0	2.0		1.0						1.0							3.0	49.0	1.0	
38	2.0	24.0		46.0		1.0	22		6.0					2.0	1.0		26.0					1.0			22.0	2.0	
39		54.0		40.0			16										19.0							2.0	52.0		
40		35.0		39.0	1.0	2.0	3	4.0	5.0						1.0		18.0			1.0		1.0		3.0	31.0		1.0
41		61.0		34.0			6	1.0	3.0					1.0			17.0			1.0		2.0	1.0		61.0		
42		44.0		49.0	1.0	3.0	11	7.0	18.0								45.0			3.0		1.0			44.0		
43		39.0		37.0	8.0		65		2.0	1.0			2.0				9.0			110.0		2.0	1.0	1.0	38.0		
44		29.0		29.0	5.0		48	6.0	7.0				2.0	3.0	2.0		46.0			74.0		2.0	1.0	2.0	27.0		
45		53.0		31.0	3.0		7	12.0	2.0			1.0		2.0	2.0		58.0			54.0		4.0			53.0		
46		57.0		40.0	1.0	1.0	42	2.0									37.0		14.0	53.0			3.0		57.0		
47		35.0		46.0			24	9.0	6.0					1.0			49.0		4.0	53.0			1.0		35.0		
48		24.0		53.0	1.0		20	14.0	7.0			3.0					86.0		1.0	53.0					24.0		
49		5.0		11.0			3	1.0	1.0								121.0			10.0					5.0		
