	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
17				1.0																							
18				12.0																							
24																	44.0										
25				10.0													34.0										
26																	26.0										
27				10.0													10.0										
28								2.0									6.0										
29																	3.0										
30				1.0													3.0										
32				5.0						18.0																	
33										5.0							11.0										
34										1.0							1.0										
35								1.0									10.0										
36																	11.0										
37																	15.0										
38																	30.0										
39																	43.0										
40										2.0							32.0										
41										1.0							37.0										
42																	123.0										
43																	102.0										
44																	132.0										
45																	178.0										
46																	197.0										
47																	194.0										
48																	97.0										
49																	40.0										
