	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
20	30	1543	28.0	47	4.0	50	44	11	26	1892	10.0	22		27.0	58	34	75	1.0	9.0	7.0			3.0	297.0	962	248	36.0
21	24	1214	13.0	173	2.0	38	19	10	45	1452	22.0	7	1.0	40.0	38	38	59	1.0	19.0	5.0	13.0		4.0	188.0	688	291	47.0
22	14	743		71	1.0	39	5	10	34	1417	6.0	2		38.0	77	16	65		54.0		1.0		1.0	71.0	448	211	13.0
23	4	1006		73		19	8	13	18	1490	1.0	24		42.0	20	45	57		38.0		1.0			54.0	834	115	3.0
24	21	2634		52	1.0	31	7	11	23	1594	3.0	22		13.0	71	24	99		24.0	1.0			1.0	22.0	2443	169	
25	13	2033		40	3.0	36	31	13	76	2680		5	4.0	13.0	97	24	69		12.0	3.0			5.0	25.0	1841	161	6.0
26	8	1031		39	23.0	95	11	27	31	2891		27	2.0	18.0	274	44	35	4.0	22.0	7.0				23.0	882	123	3.0
27	8	1252	2.0	52	35.0	36	16	51	15	2958	8.0	59	1.0	19.0	524	30	25	7.0	31.0	13.0				8.0	1210	34	
28	16	185		45	15.0	46	19	90	12	2419	29.0	12	2.0	17.0	1000	39	33	57.0	27.0	8.0			1.0		163	16	6.0
29	20	896	2.0	17	9.0	60	19	70	19	1245	2.0	4	1.0	21.0	1629	34	67	10.0		16.0				22.0	810	32	32.0
30	18	639		26	19.0	39	62	77	14	929	20.0	4	1.0	3.0	1893	17	75	7.0		9.0	3.0	14.0	8.0	27.0	535	49	24.0
31	45	530		60	47.0	58	80	56	22	989	39.0	1	1.0	12.0	1985	5	77	2.0		11.0	6.0	38.0	8.0	37.0	430	29	33.0
32	48	930	6.0	26	84.0	98	91	74	26	1140	34.0	2		26.0	1478	2	34	1.0		8.0	11.0	42.0	7.0	197.0	647	12	68.0
33	89	1405		82	11.0	50	31	88	62	1326	53.0	6	37.0	12.0	1058	16	392	13.0		9.0	5.0	39.0		236.0	944	33	191.0
34	78	1760		30	10.0	72	26	109	43	1581	22.0	21	34.0	13.0	986	18	304	1.0	4.0	1.0	10.0	41.0		328.0	1164	55	213.0
35	52	2332		72	17.0	51	20	165	23	1184		55	40.0	22.0	636	10	280	1.0	32.0	3.0	4.0	34.0	4.0	308.0	1883	117	24.0
36	108	2182		42	35.0	77	30	112	6	1281	35.0	26	21.0	14.0	410	17	707	1.0	3.0	4.0	11.0	28.0	4.0	227.0	1790	148	17.0
37	53	3289		55	25.0	128	51	157	17	993	44.0	24	12.0	14.0	251	7	266	2.0		3.0	19.0	15.0	3.0	335.0	2606	307	41.0
38	83	3552	1.0	122	12.0	106	131	13	73	1079	96.0	72	7.0	29.0	195	2	772	9.0		6.0		200.0	15.0	470.0	2513	553	16.0
39	49	5743		104	53.0	89	88	39	99	942	6.0	3	9.0	20.0	82	9	868	3.0		12.0		258.0	5.0	988.0	4100	600	55.0
40	44	4202		116	52.0	160	13	156	71	1051	16.0	18	8.0	18.0	36	9	437	11.0		11.0	1.0	298.0	10.0	811.0	2851	492	48.0
41	54	6551		131	38.0	107	52	270	89	1288	69.0	1	6.0	18.0	50	18	396	23.0		22.0		556.0	19.0	586.0	5041	849	75.0
42	62	6432		142	54.0	130	68	382	94	1394	82.0	14	6.0	6.0	55	9	1136	2.0		32.0	1.0	481.0	23.0	331.0	5283	654	164.0
43	106	8533		99	65.0	120	214	55	32	1501	11.0	26	30.0	16.0	43	15	396			361.0		350.0	36.0	524.0	6745	1151	113.0
44	45	7222		106	93.0	72	111	145	41	1418	6.0	227	20.0	39.0	29	13	1456			320.0		373.0	30.0	528.0	5335	1167	7.0
45	42	9957		108	63.0	57	22	242	61	1359	43.0	57	13.0	24.0	28	10	1502	1.0	26.0	204.0	1.0	155.0	25.0	330.0	8651	953	23.0
46	70	10361		150	56.0	77	120	91	40	1413	33.0	8	7.0	5.0	21	16	1054	1.0	338.0	217.0	4.0	96.0	10.0	233.0	9239	843	46.0
47	78	6261		181	50.0	108	57	122	38	2132	60.0	10	13.0	10.0	27	10	1427		32.0	207.0	3.0	69.0	6.0	191.0	5233	836	1.0
48	58	3889		181	36.0	37	69	212	45	1530	76.0	72	14.0	18.0	20	13	1567	1.0	18.0	194.0	4.0	96.0	4.0	152.0	2776	960	1.0
49	9	419		33	8.0	3	27	48	18	551		5	1.0		6	2	1861	1.0		40.0		17.0		19.0	226	174	
