Country of residence	Type of data	Period	Total
Total	Base data	2020M08	2442999
Total	Base data	2020M07	2464441
Total	Base data	2020M06	204926
Total	Base data	2020M05	0
Germany                              	Base data	2020M08	298217
Germany                              	Base data	2020M07	432302
Germany                              	Base data	2020M06	33740
Germany                              	Base data	2020M05	0
Belgium                              	Base data	2020M08	119284
Belgium                              	Base data	2020M07	154826
Belgium                              	Base data	2020M06	9608
Belgium                              	Base data	2020M05	0
France                               	Base data	2020M08	863665
France                               	Base data	2020M07	597244
France                               	Base data	2020M06	64895
France                               	Base data	2020M05	0
Ireland                              	Base data	2020M08	25758
Ireland                              	Base data	2020M07	31323
Ireland                              	Base data	2020M06	nan
Ireland                              	Base data	2020M05	0
Italy                                	Base data	2020M08	137978
Italy                                	Base data	2020M07	103650
Italy                                	Base data	2020M06	10426
Italy                                	Base data	2020M05	0
Netherlands                          	Base data	2020M08	151308
Netherlands                          	Base data	2020M07	189995
Netherlands                          	Base data	2020M06	12321
Netherlands                          	Base data	2020M05	0
Nordic Countries	Base data	2020M08	47990
Nordic Countries	Base data	2020M07	95263
Nordic Countries	Base data	2020M06	3965
Nordic Countries	Base data	2020M05	0
Portugal                             	Base data	2020M08	112767
Portugal                             	Base data	2020M07	90022
Portugal                             	Base data	2020M06	nan
Portugal                             	Base data	2020M05	0
United Kingdom                       	Base data	2020M08	256528
United Kingdom                       	Base data	2020M07	377886
United Kingdom                       	Base data	2020M06	8473
United Kingdom                       	Base data	2020M05	0
Russia                               	Base data	2020M08	nan
Russia                               	Base data	2020M07	nan
Russia                               	Base data	2020M06	nan
Russia                               	Base data	2020M05	0
Switzerland        	Base data	2020M08	47578
Switzerland        	Base data	2020M07	83860
Switzerland        	Base data	2020M06	3610
Switzerland        	Base data	2020M05	0
Resto de Europa	Base data	2020M08	234043
Resto de Europa	Base data	2020M07	177896
Resto de Europa	Base data	2020M06	21330
Resto de Europa	Base data	2020M05	0
United States of America                     	Base data	2020M08	12498
United States of America                     	Base data	2020M07	14943
United States of America                     	Base data	2020M06	nan
United States of America                     	Base data	2020M05	0
Rest of  America    	Base data	2020M08	55385
Rest of  America    	Base data	2020M07	40822
Rest of  America    	Base data	2020M06	nan
Rest of  America    	Base data	2020M05	0
Other countries	Base data	2020M08	76879
Other countries	Base data	2020M07	70523
Other countries	Base data	2020M06	nan
Other countries	Base data	2020M05	0
