	first_seq	num_seqs	last_seq
China	2013-07-24	1	2013-07-24
Denmark	2020-03-09	1	2020-03-09
USA	2020-03-15	29	2020-12-17
Switzerland	2020-03-21	8	2020-12-15
India	2020-03-22	6	2020-09-08
Spain	2020-03-31	5	2020-05-09
United Kingdom	2020-04-30	42	2020-12-20
Sweden	2020-05-19	2	2020-05-22
Italy	2020-06-15	1	2020-06-15
Australia	2020-06-26	2	2020-10-20
Côte d'Ivoire	2020-07-15	3	2020-09-09
South Africa	2020-07-18	328	2020-12-10
Belarus	2020-07-28	1	2020-07-28
Germany	2020-07-28	3	2020-10-07
Russia	2020-08-11	6	2020-11-17
Mexico	2020-08-18	1	2020-08-18
Peru	2020-08-28	2	2020-08-28
Georgia	2020-09-02	1	2020-09-02
Brazil	2020-10-09	43	2020-12-12
Bahrain	2020-10-14	7	2020-11-16
Belgium	2020-11-10	2	2020-11-14
France	2020-11-12	1	2020-11-12
Netherlands	2020-11-17	1	2020-11-17
Canada	2020-11-24	4	2020-11-24
Singapore	2020-12-14	1	2020-12-14
Finland	2020-12-19	1	2020-12-19
